Player,Round,Vote
Jagga Smith,1,2.0
Jagga Smith,17,1.5
Jagga Smith,19,1.5
Jagga Smith,20,1.0
Jai Newcombe,2,2.5
Jai Newcombe,5,3.0
Jai Newcombe,7,3.0
Jai Newcombe,8,1.0
Jai Newcombe,13,2.0
Jai Newcombe,15,3.0
Jai Newcombe,16,3.0
Jai Newcombe,20,0.5
Jake Bowey,18,2.0
Jake Stringer,0,3.0
Jake Stringer,17,3.0
Jake Waterman,3,2.5
Jake Waterman,12,0.5
Jake Waterman,13,2.0
Jake Waterman,14,1.0
James Peatling,4,2.0
James Peatling,10,1.0
James Rowbottom,20,2.0
James Sicily,12,2.0
Jarman Impey,11,1.0
Jarman Impey,19,2.5
Jarman Impey,20,2.5
Jarrod Berry,3,2.5
Jarrod Witts,1,1.0
Jason Horne-Francis,2,2.0
Jason Horne-Francis,5,0.5
Jason Horne-Francis,6,1.5
Jason Horne-Francis,7,3.0
Jason Horne-Francis,11,2.5
Jason Horne-Francis,13,3.0
Jason Horne-Francis,15,0.5
Jason Horne-Francis,16,2.0
Jason Horne-Francis,17,2.5
Jayden Short,1,2.0
Jeremy Cameron,1,1.0
Jeremy Cameron,6,3.0
Jeremy Cameron,8,0.5
Joe Richards,19,1.0
Joel Amartey,1,2.0
Joel Freijah,2,2.5
John Noble,0,1.5
John Noble,8,1.0
John Noble,9,1.0
John Noble,10,0.5
John Noble,13,0.5
Jordan Clark,6,2.5
Jordan Dawson,2,1.0
Jordan Dawson,4,1.0
Jordan Dawson,7,1.0
Jordan Dawson,9,2.0
Jordan Dawson,10,2.0
Jordan Dawson,11,3.0
Jordan Dawson,13,3.0
Jordan Dawson,14,3.0
Jordan Dawson,15,0.5
Jordan Dawson,17,3.0
Jordan Dawson,18,2.5
Jordan De Goey,12,3.0
Jordan De Goey,15,2.5
Jordan De Goey,16,2.0
Josh Daicos,0,1.5
Josh Daicos,7,1.0
Josh Daicos,15,0.5
Josh Daicos,18,2.0
Josh Dunkley,13,0.5
Josh Dunkley,16,1.0
Josh Dunkley,19,1.5
Josh Rachele,3,1.5
Josh Rachele,5,3.0
Josh Rachele,10,1.0
Josh Rachele,14,1.0
Josh Rachele,15,1.5
Josh Treacy,2,1.0
Josh Treacy,3,2.0
Josh Treacy,11,1.5
Josh Treacy,13,1.0
Josh Treacy,18,1.5
Josh Ward,4,0.5
Josh Ward,20,0.5
Justin Mcinerney,0,3.0
Jy Simpkin,18,1.0
Jye Amiss,4,1.0
Jye Amiss,6,2.5
Jye Amiss,12,1.0
Jye Amiss,19,2.0
Jye Amiss,20,1.5
Kade Chandler,6,1.0
Kai Lohmann,17,1.0
Kai Lohmann,19,1.0
Kane Farrell,4,1.5
Kane Mcauliffe,8,0.5
Kysaiah Pickett,3,3.0
Kysaiah Pickett,4,1.5
Kysaiah Pickett,5,1.5
Kysaiah Pickett,7,3.0
Kysaiah Pickett,8,0.5
Kysaiah Pickett,11,0.5
Kysaiah Pickett,13,3.0
Kysaiah Pickett,14,3.0
Kysaiah Pickett,19,2.0
Lachie Ash,2,2.0
Lachie Ash,5,1.5
Lachie Ash,7,1.0
Lachie Ash,12,1.0
Lachie Neale,0,2.0
Lachie Neale,4,2.0
Lachie Neale,5,3.0
Lachie Neale,6,1.0
Lachie Neale,7,3.0
Lachie Neale,9,3.0
Lachie Neale,13,2.0
Lachie Neale,14,0.5
Lachie Neale,18,2.0
Lachie Neale,19,2.0
Lachie Whitfield,9,2.0
Lachlan Bramble,20,1.0
Lawson Humphries,11,2.5
Liam Ryan,14,2.0
Logan Morris,4,0.5
Logan Morris,13,3.0
Luke Davies-Uniacke,3,2.0
Luke Davies-Uniacke,4,2.5
Luke Davies-Uniacke,5,1.0
Luke Davies-Uniacke,6,1.0
Luke Davies-Uniacke,9,2.0
Luke Davies-Uniacke,11,2.0
Luke Davies-Uniacke,16,2.0
Luke Davies-Uniacke,17,1.5
Luke Jackson,1,2.5
Luke Jackson,5,2.0
Luke Jackson,7,0.5
Luke Jackson,8,1.5
Luke Jackson,9,3.0
Luke Jackson,11,0.5
Luke Jackson,13,1.5
Luke Jackson,15,3.0
Luke Jackson,16,1.0
Luke Jackson,20,0.5
Luke Parker,1,1.5
Luke Parker,3,1.5
Luke Parker,15,0.5
Luke Ryan,5,1.0
Mabior Chol,17,0.5
Malcolm Rosas,8,3.0
Marcus Bontempelli,0,0.5
Marcus Bontempelli,1,3.0
Marcus Bontempelli,2,2.0
Marcus Bontempelli,4,2.5
Marcus Bontempelli,7,1.0
Marcus Bontempelli,8,2.0
Marcus Bontempelli,9,3.0
Marcus Bontempelli,11,2.0
Marcus Bontempelli,12,0.5
Marcus Bontempelli,13,1.5
Marcus Bontempelli,15,3.0
Marcus Bontempelli,18,2.5
Marcus Bontempelli,19,3.0
Marcus Bontempelli,20,2.0
Mark Keane,15,1.0
Mason Redman,19,1.0
Matt Carroll,10,1.5
Matt Kennedy,1,0.5
Matt Kennedy,4,2.0
Matt Rowell,5,1.0
Matt Rowell,6,2.5
Matt Rowell,11,3.0
Matt Rowell,19,0.5
Max Gawn,1,2.0
Max Gawn,3,2.0
Max Gawn,4,1.5
Max Gawn,7,1.0
Max Gawn,9,1.0
Max Gawn,10,2.0
Max Gawn,13,1.5
Max Gawn,14,2.0
Max Gawn,15,2.0
Max Gawn,17,2.0
Max Gawn,18,0.5
Max Gawn,19,1.0
Max Hall,1,2.0
Max Hall,10,2.0
Max Hall,11,1.5
Max Hall,17,1.5
Max Holmes,1,2.0
Max Holmes,3,1.5
Max Holmes,6,1.0
Max Holmes,8,3.0
Max Holmes,9,1.5
Max Holmes,11,2.0
Max Holmes,13,0.5
Max Holmes,14,2.0
Max Holmes,17,1.0
Milan Murdock,12,1.0
Mitch Georgiades,7,2.0
Mitch Lewis,5,1.5
Mitch Lewis,19,1.5
Murphy Reid,6,1.0
Murphy Reid,10,2.0
Murphy Reid,11,2.5
Murphy Reid,15,1.0
Murphy Reid,16,2.0
Murphy Reid,18,2.0
Murphy Reid,20,3.0
Nasiah Wanganeen-Milera,2,1.0
Nasiah Wanganeen-Milera,3,1.0
Nasiah Wanganeen-Milera,5,3.0
Nasiah Wanganeen-Milera,7,2.0
Nasiah Wanganeen-Milera,8,2.0
Nasiah Wanganeen-Milera,13,2.0
Nasiah Wanganeen-Milera,14,3.0
Nasiah Wanganeen-Milera,15,1.5
Nasiah Wanganeen-Milera,17,3.0
Nasiah Wanganeen-Milera,18,1.5
Nasiah Wanganeen-Milera,20,3.0
Nick Blakey,6,3.0
Nick Blakey,7,1.5
Nick Blakey,10,2.0
Nick Daicos,0,3.0
Nick Daicos,1,2.5
Nick Daicos,3,3.0
Nick Daicos,5,2.0
Nick Daicos,6,3.0
Nick Daicos,7,2.0
Nick Daicos,8,1.0
Nick Daicos,10,0.5
Nick Daicos,11,3.0
Nick Daicos,12,1.0
Nick Daicos,13,1.5
Nick Daicos,15,2.5
Nick Daicos,16,3.0
Nick Daicos,17,2.5
Nick Daicos,18,0.5
Nick Daicos,19,2.0
Nick Daicos,20,3.0
Nick Larkey,14,1.5
Nick Watson,1,2.0
Nick Watson,6,3.0
Nick Watson,12,3.0
Nick Watson,19,2.0
Noah Anderson,1,2.0
Noah Anderson,7,0.5
Noah Anderson,9,2.0
Noah Anderson,10,3.0
Noah Anderson,14,1.0
Noah Anderson,15,2.0
Noah Anderson,20,1.0
Noah Balta,8,1.0
Noah Balta,17,1.0
Oisin Mullin,9,0.5
Oliver Dempsey,9,1.0
Oliver Dempsey,12,0.5
Oliver Dempsey,14,1.0
Oliver Florent,10,1.0
Patrick Cripps,1,2.0
Patrick Cripps,5,0.5
Patrick Cripps,7,2.0
Patrick Cripps,9,1.0
Patrick Cripps,10,2.5
Patrick Cripps,11,2.0
Patrick Cripps,12,2.5
Patrick Cripps,15,2.0
Patrick Cripps,16,2.0
Patrick Cripps,17,1.0
Patrick Cripps,19,2.5
Patrick Cripps,20,3.0
Patrick Dangerfield,13,1.5
Patrick Dangerfield,17,2.5
Patrick Lipinski,6,1.5
Patrick Retschko,11,1.0
Patrick Voss,10,3.0
Patrick Voss,12,1.0
Patrick Voss,13,2.0
Paul Curtis,6,2.0
Phoenix Gothard,11,2.0
Riley Bice,1,1.0
Riley Thilthorpe,6,0.5
Rowan Marshall,8,2.5
Rowan Marshall,18,1.0
Rowan Marshall,19,2.0
Ryley Sanders,4,0.5
Ryley Sanders,10,1.0
Ryley Sanders,11,0.5
Sam Berry,5,0.5
Sam Berry,8,3.0
Sam Berry,14,1.0
Sam Berry,15,1.0
Sam Berry,20,0.5
Sam Darcy,1,0.5
Sam Durham,13,1.5
Sam Durham,16,0.5
Sam Flanders,10,1.0
Sam Walsh,11,0.5
Sam Walsh,12,1.5
Sam Walsh,15,2.0
Sam Walsh,16,1.0
Scott Pendlebury,0,1.5
Scott Pendlebury,7,3.0
Scott Pendlebury,20,0.5
Shai Bolton,2,3.0
Shai Bolton,3,1.0
Shai Bolton,7,3.0
Shai Bolton,8,1.5
Shai Bolton,10,1.0
Shai Bolton,12,2.0
Shannon Neale,1,0.5
Shannon Neale,20,1.5
Shaun Mannagh,8,0.5
Shaun Mannagh,10,3.0
Shaun Mannagh,18,2.0
Steele Sidebottom,3,2.0
Tanner Bruhn,5,1.5
Taylor Byrne,20,1.0
Taylor Walker,6,2.5
Taylor Walker,18,1.5
Tim Kelly,3,1.0
Tim Kelly,8,1.5
Tim Kelly,12,1.0
Tim Membrey,17,2.0
Tim Taranto,11,1.5
Tim Taranto,14,2.0
Tim Taranto,16,1.0
Toby Greene,5,0.5
Toby Greene,7,2.5
Toby Greene,9,1.5
Toby Greene,11,1.5
Toby Greene,12,1.0
Toby Greene,17,2.0
Toby Greene,18,0.5
Tom Atkins,5,1.5
Tom Atkins,20,2.0
Tom Mccartin,1,2.0
Tom Papley,4,1.0
Tom Papley,5,1.0
Tom Papley,9,0.5
Tom Papley,19,1.0
Tom Sparrow,7,1.0
Tom Sparrow,10,1.5
Tom Sparrow,19,2.0
Tom Stewart,10,1.0
Touk Miller,0,1.5
Touk Miller,2,1.5
Touk Miller,9,1.5
Touk Miller,19,2.0
Tristan Xerri,2,2.0
Tristan Xerri,7,2.5
Tristan Xerri,8,2.0
Tristan Xerri,18,1.0
Wayne Milera,1,2.5
Wayne Milera,8,1.5
Wayne Milera,9,1.0
Will Ashcroft,3,2.5
Will Ashcroft,4,3.0
Will Ashcroft,8,0.5
Will Ashcroft,14,3.0
Will Ashcroft,16,1.0
Will Ashcroft,18,3.0
Will Ashcroft,19,1.5
Will Ashcroft,20,3.0
Will Day,13,0.5
Will Day,15,0.5
Will Setterfield,14,1.0
Willem Duursma,12,1.5
Zac Bailey,4,0.5
Zac Bailey,5,2.0
Zac Bailey,7,2.0
Zac Bailey,8,2.5
Zac Bailey,12,2.0
Zac Bailey,14,0.5
Zac Bailey,16,1.0
Zac Bailey,17,1.5
Zac Bailey,20,2.0
Zach Merrett,1,1.0
Zach Merrett,5,0.5
Zach Merrett,6,0.5
Zach Merrett,11,1.0
Zach Merrett,13,0.5
Zach Merrett,19,3.0
Zak Butters,2,3.0
Zak Butters,3,1.5
Zak Butters,4,1.5
Zak Butters,5,2.0
Zak Butters,6,1.5
Zak Butters,7,1.0
Zak Butters,9,1.5
Zak Butters,10,1.5
Zak Butters,13,1.0
Zak Butters,14,1.5
Zak Butters,16,3.0
Zeke Uwland,17,1.5
